Item,Instruction_1,Instruction_2,Instruction_3,Category
extruded polystyrene (foam insulation),This item is not collected at curbside.,Take this item for disposal as garbage to one of the City's Drop-Off Depots. Disposal fees may apply.,,Depot
foam clamshell/takeout container,"Place any foam that is soiled, shorter than 4 inches or black in the garbage.","Place empty item in the Blue Bin (recycling). Stained foam is fine, but it must be free of residue.",,Blue Bin
block/molded packaging foam (protective material used for shipping),Place any black foam and pieces shorter than 4 inches in the garbage.,Place this item in the Blue Bin (recycling).,,Blue Bin
Styrofoam packaging (used to protect/ship materials)/white Styrofoam,Place any black foam and pieces shorter than 4 inches in the garbage.,Place this empty item in the Blue Bin (recycling).,,Blue Bin
polystyrene foam food packaging,"Place any foam that is soiled, shorter than 4"" or black in the garbage.","Place empty item in the Blue Bin (recycling). Stained foam is fine, but it must be free of residue.",,Blue Bin
Styrofoam clamshell/takeout containers,"Place any foam that is soiled, shorter than 4 inches or black in the garbage.","Place empty item in the Blue Bin (recycling). Stained foam is fine, but it must be free of residue.",,Blue Bin
paper hanging file folders,Consider keeping this item for reuse or donating this item.,"Alternatively, place item in the Blue Bin (recycling). If possible, remove metal pieces and place those in the garbage.",,Blue Bin
aluminum can,"Place this empty, rinsed item in the Blue Bin.",,,Blue Bin
beverage can,"Place this empty, rinsed item in the Blue Bin.",,,Blue Bin
pop can,Remove and place plastic straw in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
soda can,Remove and place plastic straw in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic overwrap (around pop cans),Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
paper Post-it notes,"If the paper is the size of a business card or smaller, place in an envelope or add to clear bag of shredded paper before putting in the Blue Bin.",Paper larger than a business card can be placed directly in the Blue Bin.,,Blue Bin
paper sticky notes,"If the paper is the size of a business card or smaller, place in an envelope or add to bag of shredded paper before putting in the Blue Bin.",Paper larger than a business card can be placed directly in the Blue Bin.,,Blue Bin
poster boards,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
Pringles cans,Remove any foil or plastic seals and place those in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
printed paper,"If the paper is the size of a business card or smaller, place in an envelope or add to clear bag of shredded paper before putting in the Blue Bin.",Paper larger than a business card can be placed directly in the Blue Bin.,,Blue Bin
paper potato bags,Remove any non-paper components (e.g. mesh) and place those in the Garbage Bin.,"Place this empty, unsoiled item in the Blue Bin.","If item is soiled with food, place it in the Green Bin.",Blue Bin
shaving cream/gel cans (empty),Cans containing hazardous products must be disposed of as Household Hazardous Waste.,"If empty, place can, with lid on, in the Blue Bin.",,Blue Bin
flashlights (with non-removable batteries),"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
shoe boxes,"Place empty, flattened box in the Blue Bin.",,,Blue Bin
paperback books,Consider donating reusable items to non-profit organizations or bringing to a Community Environment Day.,"Alternatively, place this item in the Blue Bin.",,Blue Bin
soft cover books,Consider donating reusable items to non-profit organizations or bringing to a Community Environment Day.,"Alternatively, place this item in the Blue Bin.",,Blue Bin
soup cartons,Remove any pull tabs and place them in the Garbage Bin.,Place this empty item in the Blue Bin (recycling) without flattening it.,,Blue Bin
sour cream tubs,Remove any foil or plastic seals and place those in the Garbage Bin.,Place any black plastic in the Garbage Bin.,,Blue Bin
foam cups/plates/bowls,"Place any foam that is soiled, shorter than 4 inches or black in the garbage.","Place empty item in the Blue Bin (recycling). Stained foam is fine, but it must be free of residue.",,Blue Bin
expanded polystyrene (EPS) foam packaging,"Place any foam that is soiled, shorter than 4 inches or black in the garbage.","Place empty item in the Blue Bin (recycling). Stained foam is fine, but it must be free of residue.",,Blue Bin
rigid polystyrene cups,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
rollerblades/inline skates,Consider donating reusable items to non-profit organizations or bringing to a Community Environment Day.,"Alternatively, place this item in the garbage.",,Garbage Bin
takeout foam coffee cups,"Place any foam that is soiled, shorter than 4 inches or black in the garbage.","Place empty item in the Blue Bin (recycling). Stained foam is fine, but it must be free of residue.",,Blue Bin
plastic overwrap (around feminine hygiene products),Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
molded plastic packaging,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
thermoform packaging,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
Kleenex boxes,Remove plastic window and place it in the Garbage Bin.,"Place empty, flattened box in the Blue Bin.",,Blue Bin
plastic overwrap (around napkins),Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic overwrap (around toilet paper),Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
"cardboard rolls (from toilet paper, paper towels)",Place this item in the Blue Bin.,,,Blue Bin
tuna cans,"Empty and rinse item, then carefully place lid inside can and squeeze top to keep lid inside.",Place item in the Blue Bin (recycling).,,Blue Bin
cardboard (unwaxed),Remove as much tape and labels as possible and put those in the Garbage Bin.,Flatten/break down and place in the Blue Bin.,"Any extra cardboard should be flattened, cut into pieces that could fit into an empty recycling bin and bundled with string or twine, then placed beside the Blue Bin.",Blue Bin
plastic overwrap (around pop bottles),Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic overwrap (around water bottles),Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
antifreeze container,"This item is Household Hazardous Waste (HHW), even if empty, and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
windshield washer fluid bottle (empty),Containers with hazardous products must be disposed of as Household Hazardous Waste.,Place any black plastic in the Garbage Bin.,,Blue Bin
wine bottles,"Place this empty, rinsed item in the Blue Bin.","Alternatively, alcohol containers can be returned for deposit to the Beer Store.",,Blue Bin
fine paper,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
lined paper,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
writing paper,"If the paper is the size of a business card or smaller, place in an envelope or add to bag of shredded paper before putting in the Blue Bin.",Paper larger than a business card can be placed directly in the Blue Bin.,,Blue Bin
card stock,"Place paper that is dirty, soiled or with excessive paint or glue in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
plastic overwrap (around diapers),Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
Ferrero Rocher plastic containers,Place any black plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
hard plastic meat trays,Place any black and/or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
paper business cards,"If paper is covered with plastic (can be revealed by ripping slowly), place this item in the Garbage Bin.","Otherwise, place this item in an envelope or add to clear bag with shredded paper before putting in the Blue Bin.",,Blue Bin
pasteboards,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
PETE 1 packaging,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic handles on cardboard produce baskets,Place this item in the Blue Bin.,,,Blue Bin
polycarbonate food containers,Place any black plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
posters (unlaminated),"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
plastic bags (contained sand),Place dirty or black bag in the Garbage Bin.,Place empty and rinsed bag in the Blue Bin.,,Blue Bin
plastic bags (contained triple mix),Place dirty or black bag in the Garbage Bin.,Place empty and rinsed bag in the Blue Bin.,,Blue Bin
boxboard,Remove any plastic/foil liners or windows and place those in the Garbage Bin.,Flatten box and place in the Blue Bin.,,Blue Bin
coffee cans,Remove any foil or plastic seals and place those in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
HDPE bottle,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,,Blue Bin
plastic knives,Place any black or compostable plastic in the Garbage Bin.,Place this clean item in the Blue Bin.,,Blue Bin
wine cartons,"Place this empty, rinsed item, in its original shape (not flattened), with lid on, in the Blue Bin.","Alternatively, alcohol containers can be returned for deposit to the Beer Store.",,Blue Bin
aluminum bottles,"Place this empty, rinsed item in the Blue Bin.",,,Blue Bin
cardboard cans,Remove any foil or plastic seals and place those in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
cardboard coffee cans,Remove any foil or plastic seals and place those in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
cottage cheese tubs,Remove any foil or plastic seals and place those in the Garbage Bin.,Place any black plastic in the Garbage Bin.,,Blue Bin
glass medication bottles (empty),Containers with hazardous products must be disposed of as Household Hazardous Waste.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
margarine tubs,Remove any foil or plastic seals and place those in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
